131.253.12.5,AS,Asia,CN,CHN,China,Beijing,,,Beijing,,39.90657,116.38765,False,+86,.cn,"zh-CN,yue,wuu,dta,ug,za",https://ipgeolocation.io/static/flags/cn_64.png,10175287,Microsoft Corporation,,Microsoft Corporation,"{'code': 'CNY', 'name': 'Yuan Renminbi', 'symbol': '¥'}","{'name': 'Asia/Shanghai', 'offset': 8, 'current_time': '2021-10-24 13:39:19.402+0800', 'current_time_unix': 1635053959.402, 'is_dst': False, 'dst_savings': 0}"
131.91.4.55,NA,North America,US,USA,United States,"Washington, D.C.",Florida,Palm Beach,Boca Raton,33432-7619,26.33843,-80.07627,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,10175558,Florida Atlantic University,,Florida Atlantic University,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/New_York', 'offset': -5, 'current_time': '2021-10-24 01:39:19.512-0400', 'current_time_unix': 1635053959.512, 'is_dst': True, 'dst_savings': 1}"
192.224.113.15,NA,North America,US,USA,United States,"Washington, D.C.",Illinois,Cook,Hoffman Estates,60169-1703,42.04580,-88.08579,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,4913403,"CDK Global, LLC",,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Chicago', 'offset': -6, 'current_time': '2021-10-24 00:39:19.615-0500', 'current_time_unix': 1635053959.615, 'is_dst': True, 'dst_savings': 1}"
199.60.28.111,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,Microsoft Corporation,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:19.753-0700', 'current_time_unix': 1635053959.753, 'is_dst': True, 'dst_savings': 1}"
208.76.44.0,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:19.870-0700', 'current_time_unix': 1635053959.87, 'is_dst': True, 'dst_savings': 1}"
208.76.44.1,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:19.973-0700', 'current_time_unix': 1635053959.973, 'is_dst': True, 'dst_savings': 1}"
208.76.44.2,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:20.087-0700', 'current_time_unix': 1635053960.087, 'is_dst': True, 'dst_savings': 1}"
208.76.44.3,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:20.181-0700', 'current_time_unix': 1635053960.181, 'is_dst': True, 'dst_savings': 1}"
208.76.44.4,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:20.286-0700', 'current_time_unix': 1635053960.286, 'is_dst': True, 'dst_savings': 1}"
208.76.44.5,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:20.398-0700', 'current_time_unix': 1635053960.398, 'is_dst': True, 'dst_savings': 1}"
208.76.44.6,NA,North America,US,USA,United States,"Washington, D.C.",Washington,King,Redmond,98052,47.67858,-122.13158,False,+1,.us,"en-US,es-US,haw,fr",https://ipgeolocation.io/static/flags/us_64.png,8497009,Microsoft Corporation,,,"{'code': 'USD', 'name': 'US Dollar', 'symbol': '$'}","{'name': 'America/Los_Angeles', 'offset': -8, 'current_time': '2021-10-23 22:39:20.517-0700', 'current_time_unix': 1635053960.517, 'is_dst': True, 'dst_savings': 1}"
